ID,Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Segmentation,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7,AgeGroup,HighSpender
460881,1,1,1.7104,1,-0.4563,0,0.1115,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
461891,1,1,0.2722,1,-0.7787,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
466935,1,1,0.6917,1,2.1228,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
464091,1,1,1.8303,1,-0.7787,2,0.1115,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
464535,1,1,0.7516,1,-0.4563,2,-0.5821,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
463108,1,1,0.9314,1,1.478,2,-0.5821,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
461356,1,0,-1.1061,1,-0.7787,0,-0.5821,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
464570,1,1,-0.7466,1,-0.7787,1,-0.5821,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
464580,1,0,-0.9863,0,1.8004,0,0.8052,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
465233,1,1,0.8115,1,-0.7787,1,0.8052,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
467208,0,1,-0.2672,1,-0.4563,2,-0.5821,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
459954,1,1,-0.9863,1,1.8004,0,-0.5821,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
460219,0,1,0.452,1,1.8004,1,-0.5821,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
460877,0,1,0.2123,0,-0.7787,1,1.4988,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
460191,0,0,-0.6267,0,1.8004,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
463742,1,1,0.7516,1,-0.7787,1,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
463691,0,0,-0.6267,0,-0.7787,0,0.1115,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
463250,0,0,-0.4469,1,-0.7787,0,-0.5821,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
463952,1,1,0.452,0,0.5108,0,0.1115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
461558,1,1,0.0924,1,-0.1339,1,-0.5821,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
466567,0,0,0.3321,1,-0.4563,0,-1.2758,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465379,1,0,-0.8065,0,-0.7787,0,0.8052,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
463814,0,0,-1.0462,0,1.1556,0,0.1115,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
466938,1,1,1.1711,1,1.8004,0,-1.2758,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
460671,1,1,-0.5069,0,1.8004,1,0.8052,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
462204,0,0,-1.4657,0,-0.4563,0,0.1115,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
461671,1,0,-0.6866,0,1.478,0,1.4988,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
459384,1,1,0.5119,1,-0.7787,1,0.1115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
459905,0,1,-0.4469,1,0.8332,0,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
464734,0,0,-0.0874,0,1.478,0,0.1115,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
464125,1,1,-0.2072,0,-0.7787,1,-0.5821,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
467434,1,0,-0.2672,1,-0.7787,0,0.1115,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
460956,0,1,0.2123,1,-0.4563,1,0.8052,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
465179,0,1,1.0512,1,-0.4563,2,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
463338,1,1,-0.6866,0,-0.4563,0,-0.5821,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
467066,1,1,0.6917,0,-0.7787,0,-1.2758,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
463845,1,1,0.8715,1,-0.4563,1,-1.2758,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
459976,0,0,-0.3271,1,-0.7787,0,-1.2758,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
461334,1,1,1.1711,1,-0.7787,2,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
465108,1,1,0.8715,1,-0.4563,1,-0.5821,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
462600,1,1,-0.8065,0,0.1885,1,0.1115,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
464144,1,1,0.9913,1,-0.7787,1,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
466911,1,1,1.4707,0,-0.4563,2,2.8861,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
462806,1,1,0.5119,0,-0.7787,0,0.1115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
463426,1,1,-0.3271,0,-0.7787,2,1.4988,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
464065,0,1,-0.5069,1,2.4452,0,-0.5821,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
462979,1,0,-1.5256,0,-0.4563,0,-0.5821,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
462834,1,1,-0.8065,1,0.1885,0,-0.5821,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
460764,1,0,2.5494,0,-0.4563,0,-1.2758,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
466466,0,1,-1.4657,0,1.1556,0,1.4988,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
460185,1,0,-1.1061,0,2.1228,0,0.1115,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
459749,1,1,0.9314,1,-0.4563,0,0.8052,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
464406,0,0,-0.2672,1,-0.7787,0,-1.2758,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
467758,0,1,0.392,1,-0.4563,0,0.1115,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462059,1,0,0.2123,1,-0.4563,0,-1.2758,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
467905,1,1,-0.0274,1,-0.7787,2,0.1115,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
461177,1,1,-0.4469,0,1.8004,1,0.8052,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
460765,1,1,2.1899,0,-0.4563,0,-1.2758,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
465386,1,0,-0.4469,1,-0.7787,0,-0.5821,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
465827,1,0,-0.9863,0,-0.1339,0,2.8861,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
462332,0,1,-0.387,1,-0.4563,2,-0.5821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
464481,1,1,0.1523,1,-0.7787,2,0.1115,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
461011,1,1,0.6917,0,-0.4563,2,0.8052,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
464749,0,1,0.2123,0,2.1228,1,0.8052,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
461094,0,0,-0.9264,1,-0.4563,0,0.1115,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
462104,1,1,-0.2672,0,2.1228,0,-0.5821,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
464524,0,1,-0.9863,0,-0.4563,0,-0.5821,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
466295,0,1,-0.0874,0,-0.7787,0,0.1115,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
461787,1,1,1.7104,1,-0.7787,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
467857,0,1,-0.9264,1,-0.7787,0,-0.5821,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
460153,1,0,-0.5069,1,1.8004,0,1.4988,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
465215,1,1,-0.2672,1,2.1228,2,1.4988,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
466746,0,1,1.5307,1,-0.7787,2,-0.5821,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
464857,1,0,-1.5256,0,1.1556,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
459478,1,1,0.1523,1,-0.4563,0,-1.2758,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
460723,0,1,0.392,1,-0.4563,2,-0.5821,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
459853,1,0,-0.8065,0,0.8332,0,1.4988,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
459390,0,0,-0.1473,0,-0.4563,0,-0.5821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
460410,0,0,-0.2672,1,0.1885,0,0.8052,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
463823,0,0,-0.8664,0,1.8004,0,0.8052,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
462008,0,1,-0.387,1,0.5108,0,0.8052,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
459750,0,1,-0.2672,1,-0.7787,1,-0.5821,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
459880,0,1,0.2722,1,-0.7787,1,1.4988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
459261,0,0,-0.6866,1,-0.7787,0,0.1115,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465656,1,1,2.07,0,-0.4563,0,0.1115,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
465395,0,1,-0.0274,0,-0.7787,1,1.4988,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
461631,1,0,-0.8664,0,1.8004,0,1.4988,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
464904,0,1,-0.9264,0,2.1228,1,-0.5821,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
461740,1,1,2.1899,1,-0.4563,0,-1.2758,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
467092,0,0,-0.9264,1,1.478,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
464173,1,1,1.6505,1,1.1556,1,0.1115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
464972,1,1,1.4108,0,-0.7787,2,2.8861,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1
467959,0,0,-1.0462,0,-0.7787,0,-1.2758,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
467688,0,1,0.2123,1,-0.7787,1,-0.5821,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
460043,0,1,-0.0274,1,-0.1339,1,-0.5821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
466590,0,0,-0.9863,1,-0.7787,0,0.8052,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
461191,0,1,0.0924,1,1.8004,0,0.8052,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
465662,1,1,1.9501,0,-0.4563,0,-1.2758,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
459231,0,1,-0.0274,1,0.1885,1,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
466495,0,1,2.07,1,-0.4563,2,-0.5821,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
459192,1,1,-0.5069,1,0.1885,1,0.1115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465710,0,0,0.3321,1,-0.4563,0,-1.2758,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
460258,0,0,-1.1061,1,-0.4563,0,1.4988,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
462813,1,1,-0.387,0,-0.7787,1,1.4988,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
463595,0,0,-0.6866,0,-0.4563,0,1.4988,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
467768,1,1,0.9913,1,-0.7787,1,-0.5821,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
465291,0,1,0.0924,1,0.8332,1,0.1115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462996,0,1,0.3321,1,2.1228,1,0.1115,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
463497,1,0,-0.6866,1,-0.7787,0,1.4988,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465301,0,1,-0.2072,1,-0.7787,0,0.1115,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
464702,1,1,0.9314,0,-0.1339,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
459012,1,1,0.2722,1,0.1885,0,1.4988,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465053,1,1,2.3097,1,-0.7787,2,-0.5821,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
459420,0,1,1.5906,1,-0.7787,0,-0.5821,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
464166,1,0,-0.7466,1,0.8332,0,-0.5821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
458987,0,1,1.7104,1,-0.7787,2,-0.5821,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
467745,1,1,0.392,1,0.1885,1,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
464866,0,0,-1.226,0,2.4452,0,-1.2758,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
461081,0,0,-1.4058,0,-0.1339,0,2.1924,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
467896,0,0,-1.2859,0,0.5108,0,0.1115,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
463991,0,0,-0.7466,1,1.8004,0,-1.2758,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
466620,0,1,-0.4469,1,1.478,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462594,1,1,0.5119,0,-0.4563,1,1.4988,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
462206,0,0,-0.8664,1,-0.4563,0,-1.2758,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
460697,1,1,-0.2072,1,0.5108,1,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
467934,0,0,-0.2072,1,-0.4563,0,-1.2758,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
460054,1,1,-0.3271,1,-0.4563,0,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
459576,0,1,2.4895,0,-0.4563,0,0.1115,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
467910,0,0,-1.3458,0,-0.4563,0,0.1115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
467335,0,1,-0.1473,0,0.5108,1,-0.5821,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
460263,1,1,-0.2072,1,-0.7787,0,-0.5821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
459340,1,1,0.5718,1,-0.4563,1,0.1115,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465622,0,1,-0.0874,1,0.8332,0,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
459395,1,1,-0.0874,0,1.8004,0,-0.5821,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
467539,1,1,0.2722,1,-0.4563,1,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
466574,1,1,0.9314,1,1.478,0,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
466544,1,1,-0.1473,1,-0.4563,1,0.1115,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
463610,0,1,-0.7466,1,-0.7787,1,-0.5821,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465539,0,1,0.3321,1,-0.4563,2,1.4988,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
459823,1,1,1.4108,1,-0.4563,0,-0.5821,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
467614,1,1,-0.5069,0,0.5108,1,-0.5821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
459073,0,0,-1.0462,1,-0.7787,0,0.1115,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
466065,1,1,-1.4657,0,2.1228,0,0.1115,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
464863,0,1,-1.1061,0,1.1556,1,2.8861,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
460022,0,1,-0.2672,1,0.5108,0,-0.5821,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
459929,1,1,1.1711,1,-0.7787,0,-0.5821,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
466613,1,0,-1.226,0,1.8004,0,0.1115,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
461149,0,0,-1.226,0,-0.7787,0,0.1115,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
466068,0,1,0.5718,1,-0.1339,0,-1.2758,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
461513,1,0,-0.6267,1,-0.7787,0,-0.5821,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
464761,0,1,0.392,0,-0.4563,1,0.8052,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
466236,0,1,1.5307,1,-0.7787,0,-0.5821,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0
459664,1,0,-0.387,1,-0.1339,0,-1.2758,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
461967,0,0,-1.4058,0,0.1885,0,0.8052,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
460516,0,1,2.4895,0,-0.7787,2,-1.2758,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1
461710,0,1,0.3321,1,-0.4563,1,0.8052,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462742,1,0,-1.5256,0,-0.7787,0,0.1115,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
459528,0,1,0.5119,1,-0.7787,1,-0.5821,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462691,1,1,-1.1061,0,-0.4563,1,-0.5821,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
462934,1,1,0.7516,0,-0.4563,2,-0.5821,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
465837,1,0,1.1112,1,-0.7787,0,-1.2758,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
